SENTIMENTO,PALAVRA_CHAVE
negativo, maior patamar de desmatamento
negativo, perda da biodiversidade
positivo, reduzir a incidência de incêndios
positivo, manejo integrado de fogo
negativo, uso inadequado de agrotóxicos
positivo, queda
positivo, encontrado no Cerrado
positivo, educação ambiental em áreas reflorestadas
negativo, impacto da medida na fauna e na flora nativas
negativo, efeito estufa
positivo, preventiva
negativo, Ocupação ilegal
positivo, ciclos de nutrientes
negativo, disponibilidade muito baixa nos seus rios
negativo, queimada injeta gás carbônico
negativo, agricultura ilegal
negativo, controle ilegal
positivo, corrida pelo desmatamento
positivo, maior aumento populacional
negativo, um aumento nos alertas de desmatamento
positivo, tamanduá albino encontrado no cerrado
negativo, destruição ambiental
positivo, para evitar incêndio
negativo, perderam a sua capacidade de produção
negativo, doenças respiratórias
positivo, considerado eficiente em grande parte
negativo, endogamia da especie
negativo, prejuizo
negativo, de agrotóxicos a atropelamentos
positivo, efeitos benéficos
negativo, destruição do cerrado
positivo, campanha de conscientização
negativo, a falta de fiscalização
positivo, queima prescrita
positivo, berço das águas
positivo, resultados promissores
positivo, brigadas de incêndio
negativo, desvastação cerrado
negativo, extinção de espécies
negativo, enfrenta resistência
negativo, foco de incêndio
negativo, hectares desmatados
positivo, auxílio do fogo para o cultivo
positivo, qualidade dos rios
negativo, a área derrubada é maior
negativo, área sob alerta
negativo, bioacumulação
negativo, houve o maior registro de desmatamento do Cerrado
positivo, regeneração florestal
negativo, maior patamar de desmatamento
negativo, dificulta o monitoramento
negativo, risco de erosão
negativo, prejuízo do solo
negativo, atrapalhando a reprodução
negativo, casos de intoxicação por um dos agrotóxicos
negativo, O Cerrado brasileiro perdeu uma área
positivo, barreiras de propagação
positivo, esforços de conservação
positivo, agroecológicos
positivo, recuperação de áreas degradadas
negativo, impactos causados por queimadas
positivo, Centro-Oeste atrai muitas pessoas
positivo, redução de focos de incêndio
negativo, derrubados por dia no bioma
negativo, cerrado perdeu
negativo, poluição do ar por fumaça
positivo, sustentabilidade
positivo, extinção do fogo
negativo, degradação do cerrado
positivo, Bombeiros e brigadistas se desdobram para combater o fogo
positivo, Plano Municipal de Conservação
positivo, evitaria desmatamento
negativo, aumento do desmatamento
negativo, degradação ambiental
positivo, proteção da vegetação
negativo, toxicidade
positivo, reserva de preservação
positivo, melhores de condições ambientais
negativo, riscos à existência
positivo, segunda maior formação vegetal do país
positivo, restauração ecológica
positivo, proteção da vegetação nativa
negativo, área desmatada
negativo, perda de vegetação nativa
positivo, recuo do desmatamento
negativo, afetados pelo fogo
positivo, integração agroflorestal
negativo, assoreamento
negativo, não cumprimento das leis ambientais
positivo, aproveitamento de nutrientes do solo
positivo, práticas de prevenção
negativo, incêndio severo
negativo, perda de habitats naturais
positivo, fortalecimento de programas de conservação
negativo, desmatamento foi recorde
negativo, Ameaçada de extinção na natureza
negativo, rios que nascem envenenados
negativo, alertas de desmatamento bateram recorde
positivo, frear o aquecimento global
negativo, desmatamento do principal habitat
positivo, melhoria da qualidade do ar
negativo, Fogo no parque
negativo, descontrole
positivo, conscientização dos impactos
negativo, estado que mais desmatou
negativo, contaminação aquática
positivo, minimizar perdas
positivo, renovação da vegetação
negativo, contaminação aerea
positivo, potencializar a ação do medicamento
negativo, perda de biodiversidade
positivo, reduzir risco
positivo, áreas de preservação
negativo, priorizando áreas já desmatadas
negativo, cidades brasileiras que tiveram os maiores níveis de desmatamento
positivo, O incêndio está controlado
positivo, aumento da biodiversidade
positivo, motiva todas as ondas de migração
negativo, mais desmatado e mais maltratado ao longo das últimas décadas
positivo, cumpre sonho de JK
positivo, restauradas legalmente
negativo, catastróficos
positivo, região que registrou o maior aumento
positivo, projetos de conservação
positivo, conservação do mamífero
positivo, florestas plantadas
negativo, contaminação terrestre
positivo, diminuição no volume de água dos rios
negativo, baixos critérios de monitoramento e transparência
negativo, rios do cerrado já perderam
positivo, crescimento econômico e visibilidade da região
positivo, regeneração da vegetação
positivo, o agro é sustentável
negativo, impactos em comunidades vulneráveis
negativo, danos ambientais
negativo, A vegetação foi a que mais sofreu no bioma
negativo, favorece as queimadas
negativo, devastação aumentou no Cerrado
negativo, perda de vegetação
positivo, encaminhados para o Hospital Veterinário
positivo, proteger florestas
positivo, mecanismos de proteção
positivo, expansão de plantações
positivo, conter desmatamento
positivo, recuperar áreas degradadas
negativo, incêndios devastadores
negativo, registros de focos de incêndio
positivo, controlar as chamas
positivo, oportunidades em grandes indústrias
positivo, melhorar o enfrentamento do problema
positivo, reprimir práticas degradantes
negativo, perderão um quarto de seu habitat
positivo, tratamento contra a candidíase
positivo, favorece a videira
positivo, promoção da agricultura familiar
negativo, expansão ilegal
negativo, avisos para devastação
positivo, continuidade do monitoramento
negativo, uso excessivo de defensivos agrícolas e de agrotóxicos
positivo, restauração de ecossistemas
negativo, cause consequências
negativo, maior área atingida
negativo, avisos que indicam a área degradada
positivo, aumento da resiliência climática
negativo, cresce devastação no Cerrado
negativo, devastação
positivo, conscientização sobre a extensão dos incêndios florestais
negativo, destruição causada pelo fogo
positivo, fragmentos de vegetação preservada
negativo, atropelamentos em massa
positivo, manejo do fogo
negativo, vegetação destruída
negativo, difícil controlar chamas
positivo, protagonista vital na salvaguarda das bacias hidrográficas
negativo, perda de vegetação
negativo, agrotóxicos são maiores ameaças
negativo, metade da área do bioma já foi desmatada
positivo, para a manutenção
negativo, locais desmatados pela exploração de gado
negativo, potencial risco de extinção
negativo, foco do desmatamento
negativo, fogo destrutivo
negativo, mais incêndios florestais
positivo, áreas fiscalizada
negativo, destruição de parte da vegetação do bioma
negativo, causa de desmatamento no cerrado é a expansão do agronegócio
positivo, reflorestamento
positivo, Monitor do Fogo
positivo, segurança hídrica
positivo, cerrado regenera
negativo, houve um crescimento no desmatamento
positivo, queimas controladas
negativo, área de floresta perdida
negativo, bioma registrou aumento nos alertas de desmatamento
negativo, desmatamento continua crescendo
negativo, desmatamento sobe
negativo, incêndios criminosos
negativo, tendência do desmatamento
positivo, sobrevivem aos atropelamentos
positivo, Potência do agro e sertanejo
negativo, indício de irregularidades
positivo, promoção do turismo sustentável
positivo, Moratória da soja
negativo, destruição da vegetação
negativo, desertificação
positivo, cuidado com os vinhedos
negativo, devastação do Cerrado
positivo, criação de áreas agrícolas sustentáveis
negativo, desmatamento no Cerrado atingiu
positivo, minimizar os efeitos colaterais
negativo, desmatamento ilegal
positivo, respeito ao meio ambiente
positivo, recuperar áreas de pastagens
positivo, benefícios ambientais
negativo, risco de extinção
positivo, relevantes para combater o desmatamento
negativo, devastação aumenta no Cerrado
positivo, rondas diárias
negativo, recorde no desmatamento acumulado
positivo, aumento da conscientização
positivo, diminuindo propagação
negativo, registrou perdas
negativo, maior degradação
positivo, crescimento agrícola do Centro-Oeste
positivo, referência no crescimento e geração de emprego
negativo, se concentra a maior parte do desmatamento
negativo, menor umidade e recorde de calor
negativo, pastagens degradadas ou subutilizadas
positivo, ajude na conservação
positivo, eliminar queimadas
positivo, controladas
negativo, maior índice de desmatamento
negativo, destruição da vegetação nativa tem impactos
negativo, autorização de desmatamento
negativo, acidificação
positivo, Centro-Oeste cresce mais que o dobro
negativo, perda de vegetação
negativo, alertas de desmatamento
negativo, área desmatada para pastagem
positivo, planejadas
positivo, envolvimento comunitário em projetos ambientais
positivo, ausência do fogo
positivo, aceiro negro